id	port	abi	check	category	status	value
ABI-sonic4ep2-aarch64-025-approved-reference	sonic4ep2	aarch64	025-approved-reference	evidence	recorded	Sonic 4 Episode II v6 libfox and host are the positive AArch64 line; the older ARMv7 engine stays separate
ABI-sonic4ep2-aarch64-026-physical-evidence	sonic4ep2	aarch64	026-physical-evidence	evidence	recorded	physical-full evidence exists for v6 on Mali-450 and the prior loader line on ArkOS and X5M; community reports are not promoted
ABI-sonic4ep2-aarch64-027-limitations	sonic4ep2	aarch64	027-limitations	limits	recorded	M10 proves load and relocation only; constructor filtering and native lifecycle remain outside this ABI gate
ABI-sonic4ep2-aarch64-028-generalization	sonic4ep2	aarch64	028-generalization	limits	recorded	reuse LP64, RELA and explicit ABI separation; never copy libfox hooks, aliases, offsets or exact-version fixes
ABI-tasm2_127-armv7-001-variant-id	tasm2_127	armv7	001-variant-id	identity	recorded	tasm2_127-armv7
ABI-tasm2_127-armv7-002-canonical-port	tasm2_127	armv7	002-canonical-port	identity	recorded	tasm2_127
ABI-tasm2_127-armv7-003-abi	tasm2_127	armv7	003-abi	identity	recorded	armv7
ABI-tasm2_127-armv7-004-positive-reference	tasm2_127	armv7	004-positive-reference	evidence	recorded	true
ABI-tasm2_127-armv7-005-guest-object	tasm2_127	armv7	005-guest-object	guest	recorded	ports/asm2_127/asm2-127-gamefiles/apk/lib/armeabi-v7a/libtasm2.so sha256=d091fe95c56af681f1a06453e9868622935ecbb759c05c340fc16bf8df2ae62e
ABI-tasm2_127-armv7-006-guest-elf-class	tasm2_127	armv7	006-guest-elf-class	guest	recorded	ELF32 little-endian ET_DYN
ABI-tasm2_127-armv7-007-guest-machine	tasm2_127	armv7	007-guest-machine	guest	recorded	EM_ARM
ABI-tasm2_127-armv7-008-eabi-version	tasm2_127	armv7	008-eabi-version	guest	recorded	EABI5
ABI-tasm2_127-armv7-009-float-abi	tasm2_127	armv7	009-float-abi	guest	recorded	e_flags unspecified and no Tag_ABI_VFP_args; never inferred
ABI-tasm2_127-armv7-010-pcs-boundary	tasm2_127	armv7	010-pcs-boundary	guest	recorded	adapter explicitly declares guest base AAPCS; difftime and GLES float-by-value remain adapter wrappers
ABI-tasm2_127-armv7-011-relocation-format	tasm2_127	armv7	011-relocation-format	relocation	recorded	ELF32 REL with implicit signed addends; RELA rejected
ABI-tasm2_127-armv7-012-relocation-inventory	tasm2_127	armv7	012-relocation-inventory	relocation	recorded	libtasm2 RELATIVE=74548,JUMP_SLOT=387,GLOB_DAT=20,ABS32=15; libgenerator RELATIVE=2237,JUMP_SLOT=80,GLOB_DAT=4
ABI-tasm2_127-armv7-013-unsupported-relocations	tasm2_127	armv7	013-unsupported-relocations	relocation	recorded	unknown, TLS/TLSDESC, IFUNC/IRELATIVE and non-allowlisted text relocations fail before any commit
ABI-tasm2_127-armv7-014-interpreter-scope	tasm2_127	armv7	014-interpreter-scope	loader	recorded	guest /system/bin/linker is allowed metadata; Linux host alone must use canonical ARMHF PT_INTERP
ABI-tasm2_127-armv7-015-host-elf-class	tasm2_127	armv7	015-host-elf-class	host	recorded	ELF32 little-endian ET_DYN/PIE host executable
ABI-tasm2_127-armv7-016-host-machine	tasm2_127	armv7	016-host-machine	host	recorded	EM_ARM EABI5
ABI-tasm2_127-armv7-017-host-float-abi	tasm2_127	armv7	017-host-float-abi	host	recorded	hard-float with Tag_ABI_VFP_args=VFP registers
ABI-tasm2_127-armv7-018-host-pt-interp	tasm2_127	armv7	018-host-pt-interp	host	recorded	/lib/ld-linux-armhf.so.3
ABI-tasm2_127-armv7-019-host-glibc-ceiling	tasm2_127	armv7	019-host-glibc-ceiling	host	recorded	ports/asm2_127/asm2_127-universal max GLIBC_2.27; public ceiling GLIBC_2.30
ABI-tasm2_127-armv7-020-host-dependencies	tasm2_127	armv7	020-host-dependencies	host	recorded	all Linux host DT_NEEDED entries must resolve in the pinned old sysroot
ABI-tasm2_127-armv7-021-gcc-cross	tasm2_127	armv7	021-gcc-cross	gate	recorded	nxloader-armv7-cross builds with pinned GCC ARMHF and old sysroot
ABI-tasm2_127-armv7-022-clang-cross	tasm2_127	armv7	022-clang-cross	gate	recorded	nxloader-armv7-cross builds with Clang ARMHF plus LLD and the same old sysroot
ABI-tasm2_127-armv7-023-qemu-cross	tasm2_127	armv7	023-qemu-cross	gate	recorded	cross-safe ABI and softfp probes only; no guest ELF execution
ABI-tasm2_127-armv7-024-initializer-policy	tasm2_127	armv7	024-initializer-policy	safety	recorded	guest_initializers_executed=0 in every automatic ARMv7 gate
ABI-tasm2_127-armv7-025-approved-reference	tasm2_127	armv7	025-approved-reference	evidence	recorded	only ports/asm2_127 is positive; abandoned legacy tree is forbidden as implementation source
ABI-tasm2_127-armv7-026-physical-evidence	tasm2_127	armv7	026-physical-evidence	evidence	recorded	M09-012 ELF32 cache-sync passed on authorized physical ARM hardware; sanitized evidence is framework/nxloader/m09-armv7-physical-evidence-v1.json
ABI-tasm2_127-armv7-027-limitations	tasm2_127	armv7	027-limitations	limits	recorded	green guests prove only ABS32/GLOB_DAT/JUMP_SLOT/RELATIVE, not REL32 or branch relocations
ABI-tasm2_127-armv7-028-generalization	tasm2_127	armv7	028-generalization	limits	recorded	reuse minimum-VMA/load-bias and explicit PCS discipline; never copy offsets, skips or exact-version hacks
