id	entry	check	category	status	value
PORT-bully2-036-input-hotplug	bully2	036-input-hotplug	input	recorded	not established for universal reuse
PORT-bully2-037-cursor-context	bully2	037-cursor-context	input	recorded	not-applicable: native Rockstar controls
PORT-bully2-038-single-instance	bully2	038-single-instance	lifecycle	recorded	port tests must own exact game PID
PORT-bully2-039-save-pause-exit	bully2	039-save-pause-exit	lifecycle	recorded	runtime path studied; clean virgin install-to-exit product gate remained open
PORT-bully2-040-physical-stacks	bully2	040-physical-stacks	evidence	recorded	[{"level":"physical-subsystem","release":"historical runtime line","result":"loader, rendering and capability mechanics provided strong narrow evidence","stack":"Mali-450 and R36S/KMSDRM studies"},{"level":"designed-only","release":"local v11","result":"ZIP hash matched but APK transfer stopped partial; no valid first boot","stack":"Ark/R36S first-run"}]
PORT-bully2-041-limitations	bully2	041-limitations	evidence	recorded	["Removed from official PortMaster because APK sourcing instructions caused excessive user failures","Never use the partial APK recorded in the old handoff","Not a current public/universal reference"]
PORT-bully2-042-generalization	bully2	042-generalization	generalization	recorded	{"allowed":["AArch64 relocation cross-check","capability/memory detection","data validator shape"],"forbidden":["Rockstar offsets","global performance tier","controller heuristic outside exact signature","claim current PortMaster availability"]}
PORT-castleofillusion-001-canonical-id	castleofillusion	001-canonical-id	identity	recorded	castleofillusion
PORT-castleofillusion-002-title	castleofillusion	002-title	identity	recorded	Castle of Illusion
PORT-castleofillusion-003-support-scope	castleofillusion	003-support-scope	classification	recorded	multi-device-validated
PORT-castleofillusion-004-publication	castleofillusion	004-publication	classification	recorded	current-public
PORT-castleofillusion-005-positive-reference	castleofillusion	005-positive-reference	classification	recorded	true
PORT-castleofillusion-006-local-path	castleofillusion	006-local-path	source	recorded	ports/castleofillusion
PORT-castleofillusion-007-remote-url	castleofillusion	007-remote-url	source	recorded	https://github.com/NextOs-Ports/castleofillusion-nextos
PORT-castleofillusion-008-source-snapshot	castleofillusion	008-source-snapshot	source	recorded	46ffe044818d08c59af25b456f8fa0f40c9ba951
PORT-castleofillusion-009-release-tag	castleofillusion	009-release-tag	release	recorded	v1.0.1
PORT-castleofillusion-010-release-commit	castleofillusion	010-release-commit	release	recorded	46ffe044818d08c59af25b456f8fa0f40c9ba951
PORT-castleofillusion-011-release-asset	castleofillusion	011-release-asset	release	recorded	castleofillusion.zip
PORT-castleofillusion-012-release-sha256	castleofillusion	012-release-sha256	release	recorded	c65b6e613bc5269f12e3496dfb7755378c6a457bc4b69c4cf7cd9599a32ae437
PORT-castleofillusion-013-data-policy	castleofillusion	013-data-policy	data	recorded	BYO only
PORT-castleofillusion-014-package-identity	castleofillusion	014-package-identity	data	recorded	Castle APK 1.4.5 arm64 plus matching main.154 OBB
PORT-castleofillusion-015-version-rule	castleofillusion	015-version-rule	data	recorded	structural validation with wrong-build rejection
PORT-castleofillusion-016-transactional-install	castleofillusion	016-transactional-install	data	recorded	NXExtract 1.2.2 install, resume, marker and adoption validated
PORT-castleofillusion-017-guest-abi	castleofillusion	017-guest-abi	abi	recorded	Android AArch64
PORT-castleofillusion-018-host-abi	castleofillusion	018-host-abi	abi	recorded	Linux AArch64
PORT-castleofillusion-019-elf-class	castleofillusion	019-elf-class	abi	recorded	ELF64
PORT-castleofillusion-020-float-abi	castleofillusion	020-float-abi	abi	recorded	AAPCS64
PORT-castleofillusion-021-interpreter	castleofillusion	021-interpreter	abi	recorded	host AArch64 dynamic loader
PORT-castleofillusion-022-glibc-ceiling	castleofillusion	022-glibc-ceiling	abi	recorded	public package <= GLIBC_2.30
PORT-castleofillusion-023-loader-family	castleofillusion	023-loader-family	loader	recorded	AArch64 Android so-loader for Sega oz engine
PORT-castleofillusion-024-init-array	castleofillusion	024-init-array	loader	recorded	complete native constructors required
PORT-castleofillusion-025-jni-onload	castleofillusion	025-jni-onload	loader	recorded	preserved where requested by the game
PORT-castleofillusion-026-native-lifecycle	castleofillusion	026-native-lifecycle	loader	recorded	engine boot, pause, save and exit flow preserved
PORT-castleofillusion-027-video-ownership	castleofillusion	027-video-ownership	video	recorded	firmware SDL/EGL/GLES
PORT-castleofillusion-028-backend-detection	castleofillusion	028-backend-detection	video	recorded	uses inherited firmware backend; none forced
PORT-castleofillusion-029-gles-probe	castleofillusion	029-gles-probe	video	recorded	real context and GLES capability measured
PORT-castleofillusion-030-drawable-size	castleofillusion	030-drawable-size	video	recorded	real SDL drawable
PORT-castleofillusion-031-video-fix-scope	castleofillusion	031-video-fix-scope	video	recorded	NPOT wrap fix remains off unless a real artifact proves it; external-alpha fixes are narrow
PORT-castleofillusion-032-native-audio-first	castleofillusion	032-native-audio-first	audio	recorded	FMOD Ex mixer retained through SDL output
PORT-castleofillusion-033-audio-fallback-condition	castleofillusion	033-audio-fallback-condition	audio	recorded	only after measured output failure
PORT-castleofillusion-034-realtime-safety	castleofillusion	034-realtime-safety	audio	recorded	full session recorded with zero underruns
PORT-castleofillusion-035-portmaster-mapping	castleofillusion	035-portmaster-mapping	input	recorded	PortMaster and firmware gamecontrollerdb take priority
PORT-castleofillusion-036-input-hotplug	castleofillusion	036-input-hotplug	input	recorded	SDL controller path
PORT-castleofillusion-037-cursor-context	castleofillusion	037-cursor-context	input	recorded	touch synthesis only for proven touch-only screens
PORT-castleofillusion-038-single-instance	castleofillusion	038-single-instance	lifecycle	recorded	foreground package flow; no global process sweep
PORT-castleofillusion-039-save-pause-exit	castleofillusion	039-save-pause-exit	lifecycle	recorded	SELECT+START and SIGTERM request pause, engine save and clean exit
PORT-castleofillusion-040-physical-stacks	castleofillusion	040-physical-stacks	evidence	recorded	[{"level":"physical-full","release":"v1.0.1","result":"clean BYO install, gameplay, audio, control, save/reload and exit","stack":"ArkOS R36T/K36S, Mali-G31/KMSDRM"},{"level":"physical-full","release":"v1.0.1","result":"developed and revalidated from the package","stack":"NextOS Mali-450/fbdev"}]
PORT-castleofillusion-041-limitations	castleofillusion	041-limitations	evidence	recorded	["No other firmware is marked verified without the complete protocol"]
PORT-castleofillusion-042-generalization	castleofillusion	042-generalization	generalization	recorded	{"allowed":["capability-first backend choice","FMOD Ex to SDL contract","PortMaster controller priority"],"forbidden":["global NPOT clamp","device-name-only backend forcing","support claims by similar SoC"]}
PORT-chrono_pilot-001-canonical-id	chrono_pilot	001-canonical-id	identity	recorded	chrono_pilot
PORT-chrono_pilot-002-title	chrono_pilot	002-title	identity	recorded	Chrono Trigger universal-framework pilot
PORT-chrono_pilot-003-support-scope	chrono_pilot	003-support-scope	classification	recorded	two-stack-physical-pilot
PORT-chrono_pilot-004-publication	chrono_pilot	004-publication	classification	recorded	release-candidate
PORT-chrono_pilot-005-positive-reference	chrono_pilot	005-positive-reference	classification	recorded	true
PORT-chrono_pilot-006-local-path	chrono_pilot	006-local-path	source	recorded	ports/chrono
PORT-chrono_pilot-007-remote-url	chrono_pilot	007-remote-url	source	recorded	https://github.com/NextOs-Ports/chrono-nextos
PORT-chrono_pilot-008-source-snapshot	chrono_pilot	008-source-snapshot	source	recorded	M22 checkpoint 20260809T074141Z-pid3514038-301057239
PORT-chrono_pilot-009-release-tag	chrono_pilot	009-release-tag	release	recorded	v1.0.3-framework-candidate
PORT-chrono_pilot-010-release-commit	chrono_pilot	010-release-commit	release	recorded	pending focused M24 publication commit
PORT-chrono_pilot-011-release-asset	chrono_pilot	011-release-asset	release	recorded	chrono.zip
PORT-chrono_pilot-012-release-sha256	chrono_pilot	012-release-sha256	release	recorded	886cefaef1a2be2ff276c4d276d430e35ce2162bd47c4af5d29a62863638b27a
PORT-chrono_pilot-013-data-policy	chrono_pilot	013-data-policy	data	recorded	BYO only
PORT-chrono_pilot-014-package-identity	chrono_pilot	014-package-identity	data	recorded	Chrono Trigger Android 2.1.4 arm64-v8a payload
PORT-chrono_pilot-015-version-rule	chrono_pilot	015-version-rule	data	recorded	exact NXExtract recipe 2.x-universal-2 and AArch64 module set
PORT-chrono_pilot-016-transactional-install	chrono_pilot	016-transactional-install	data	recorded	NXExtract 1.2.6 validates and atomically adopts or publishes owner-supplied data
PORT-chrono_pilot-017-guest-abi	chrono_pilot	017-guest-abi	abi	recorded	Android AArch64
PORT-chrono_pilot-018-host-abi	chrono_pilot	018-host-abi	abi	recorded	Linux AArch64
PORT-chrono_pilot-019-elf-class	chrono_pilot	019-elf-class	abi	recorded	ELF64
PORT-chrono_pilot-020-float-abi	chrono_pilot	020-float-abi	abi	recorded	AAPCS64
PORT-chrono_pilot-021-interpreter	chrono_pilot	021-interpreter	abi	recorded	/lib/ld-linux-aarch64.so.1
PORT-chrono_pilot-022-glibc-ceiling	chrono_pilot	022-glibc-ceiling	abi	recorded	final loader max GLIBC_2.27
PORT-chrono_pilot-023-loader-family	chrono_pilot	023-loader-family	loader	recorded	nxloader 0.5.0 with Chrono AArch64 adapter
PORT-chrono_pilot-024-init-array	chrono_pilot	024-init-array	loader	recorded	native initializers exactly once
PORT-chrono_pilot-025-jni-onload	chrono_pilot	025-jni-onload	loader	recorded	literal JNI_OnLoad accepted at proven JNI 1.4
PORT-chrono_pilot-026-native-lifecycle	chrono_pilot	026-native-lifecycle	loader	recorded	initializers then JNI, context/assets, init, resume, loop, pause/save and shutdown
PORT-chrono_pilot-027-video-ownership	chrono_pilot	027-video-ownership	video	recorded	nxgl measured SDL/EGL/GLES stack
PORT-chrono_pilot-028-backend-detection	chrono_pilot	028-backend-detection	video	recorded	capability driven; no device-name selection
PORT-chrono_pilot-029-gles-probe	chrono_pilot	029-gles-probe	video	recorded	GLES2 on Mali-450 and GLES3.2 delivered for GLES2 request on Mali-G31
PORT-chrono_pilot-030-drawable-size	chrono_pilot	030-drawable-size	video	recorded	1280x720 fbdev and 640x480 KMSDRM physically observed
PORT-chrono_pilot-031-video-fix-scope	chrono_pilot	031-video-fix-scope	video	recorded	Chrono alpha-one and finish present quirks only
PORT-chrono_pilot-032-native-audio-first	chrono_pilot	032-native-audio-first	audio	recorded	firmware-selected SDL output
PORT-chrono_pilot-033-audio-fallback-condition	chrono_pilot	033-audio-fallback-condition	audio	recorded	no global forced backend; PulseAudio and ALSA both physically opened
PORT-chrono_pilot-034-realtime-safety	chrono_pilot	034-realtime-safety	audio	recorded	OpenSL buffer queue remains adapter-owned and device-open receipts are recorded
PORT-chrono_pilot-035-portmaster-mapping	chrono_pilot	035-portmaster-mapping	input	recorded	nxinput mapping plus native Chrono controller callbacks
PORT-chrono_pilot-036-input-hotplug	chrono_pilot	036-input-hotplug	input	recorded	framework boundary present; final replay retained approved continuity without repeating unplug
PORT-chrono_pilot-037-cursor-context	chrono_pilot	037-cursor-context	input	recorded	not-applicable: native controller path
PORT-chrono_pilot-038-single-instance	chrono_pilot	038-single-instance	lifecycle	recorded	comm, cmdline and executable audited before launch
PORT-chrono_pilot-039-save-pause-exit	chrono_pilot	039-save-pause-exit	lifecycle	recorded	approved save continuity; exact final native pause and supervised status-zero shutdown on both stacks
PORT-chrono_pilot-040-physical-stacks	chrono_pilot	040-physical-stacks	evidence	recorded	[{"level":"physical-full","release":"exact framework candidate ZIP","result":"video, PulseAudio, native input, main loop and clean shutdown","stack":"NextOS Mali-450/fbdev"},{"level":"physical-full","release":"same exact framework candidate ZIP","result":"video, ALSA, native input, main loop and clean shutdown","stack":"ArkOS RK3326/KMSDRM"}]
PORT-chrono_pilot-041-limitations	chrono_pilot	041-limitations	evidence	recorded	["Only the two recorded AArch64 stacks are physically claimed","Other AArch64 firmware routes remain designed-only","ARMHF cannot load the AArch64 game payload"]
PORT-chrono_pilot-042-generalization	chrono_pilot	042-generalization	generalization	recorded	{"allowed":["capability-driven backend selection","bounded single retry","single-buffer-capable EGL validation","same-stack EGL receipt fallback","AArch64 Bionic stat syscall bridge"],"forbidden":["select backend by device name","claim untested firmware","copy Chrono JNI or offsets into other engines","alter approved GTA ports while using them as references"]}
PORT-dysmantle-001-canonical-id	dysmantle	001-canonical-id	identity	recorded	dysmantle
PORT-dysmantle-002-title	dysmantle	002-title	identity	recorded	DYSMANTLE
PORT-dysmantle-003-support-scope	dysmantle	003-support-scope	classification	recorded	local-limited-physical-subsystem
PORT-dysmantle-004-publication	dysmantle	004-publication	classification	recorded	local-historical-package
PORT-dysmantle-005-positive-reference	dysmantle	005-positive-reference	classification	recorded	true
PORT-dysmantle-006-local-path	dysmantle	006-local-path	source	recorded	ports/dysmantle
PORT-dysmantle-007-remote-url	dysmantle	007-remote-url	source	recorded	not-applicable: no current NextOs-Ports public repository found
PORT-dysmantle-008-source-snapshot	dysmantle	008-source-snapshot	source	recorded	46b1535a5c0a6d596951a8d2e83a95b15a32af0c
PORT-dysmantle-009-release-tag	dysmantle	009-release-tag	release	recorded	local V7 RC2 test snapshot
PORT-dysmantle-010-release-commit	dysmantle	010-release-commit	release	recorded	46b1535a5c0a6d596951a8d2e83a95b15a32af0c
PORT-dysmantle-011-release-asset	dysmantle	011-release-asset	release	recorded	not-applicable: no current public asset ledger
PORT-dysmantle-012-release-sha256	dysmantle	012-release-sha256	release	recorded	not-applicable: no current public asset ledger
PORT-dysmantle-013-data-policy	dysmantle	013-data-policy	data	recorded	BYO only
PORT-dysmantle-014-package-identity	dysmantle	014-package-identity	data	recorded	DYSMANTLE Android 1.4.1.12 arm64
PORT-dysmantle-015-version-rule	dysmantle	015-version-rule	data	recorded	exact supported APK
PORT-dysmantle-016-transactional-install	dysmantle	016-transactional-install	data	recorded	multi-stage extraction and texture preparation; reuse only after NXExtract contract audit
PORT-dysmantle-017-guest-abi	dysmantle	017-guest-abi	abi	recorded	Android AArch64
PORT-dysmantle-018-host-abi	dysmantle	018-host-abi	abi	recorded	Linux AArch64
PORT-dysmantle-019-elf-class	dysmantle	019-elf-class	abi	recorded	ELF64
PORT-dysmantle-020-float-abi	dysmantle	020-float-abi	abi	recorded	AAPCS64
PORT-dysmantle-021-interpreter	dysmantle	021-interpreter	abi	recorded	host AArch64 dynamic loader
PORT-dysmantle-022-glibc-ceiling	dysmantle	022-glibc-ceiling	abi	recorded	historical binary reports glibc >=2.27; re-audit before public use
PORT-dysmantle-023-loader-family	dysmantle	023-loader-family	loader	recorded	10tons NX/GameActivity AArch64 so-loader
PORT-dysmantle-024-init-array	dysmantle	024-init-array	loader	recorded	native constructors
PORT-dysmantle-025-jni-onload	dysmantle	025-jni-onload	loader	recorded	GameActivity registration
PORT-dysmantle-026-native-lifecycle	dysmantle	026-native-lifecycle	loader	recorded	gameplay path observed; old STATUS also contains incomplete milestones
PORT-dysmantle-027-video-ownership	dysmantle	027-video-ownership	video	recorded	GLES2/GLES3 firmware path
PORT-dysmantle-028-backend-detection	dysmantle	028-backend-detection	video	recorded	memory and texture capability profiles
PORT-dysmantle-029-gles-probe	dysmantle	029-gles-probe	video	recorded	GLES2 Ark route physically exercised
PORT-dysmantle-030-drawable-size	dysmantle	030-drawable-size	video	recorded	640x480 Ark profile
PORT-dysmantle-031-video-fix-scope	dysmantle	031-video-fix-scope	video	recorded	texture streaming/cache and ETC work only; inherited global NPOT clamp is prohibited
PORT-dysmantle-032-native-audio-first	dysmantle	032-native-audio-first	audio	recorded	game audio path
PORT-dysmantle-033-audio-fallback-condition	dysmantle	033-audio-fallback-condition	audio	recorded	old Null-output milestone is negative evidence, not a valid default
PORT-dysmantle-034-realtime-safety	dysmantle	034-realtime-safety	audio	recorded	audio not part of the documented V7 RC2 conclusion
PORT-dysmantle-035-portmaster-mapping	dysmantle	035-portmaster-mapping	input	recorded	controller path exists
PORT-dysmantle-036-input-hotplug	dysmantle	036-input-hotplug	input	recorded	not established by V7 RC2 report
PORT-dysmantle-037-cursor-context	dysmantle	037-cursor-context	input	recorded	not-applicable: native controller gameplay
PORT-dysmantle-038-single-instance	dysmantle	038-single-instance	lifecycle	recorded	exact game PID only
PORT-dysmantle-039-save-pause-exit	dysmantle	039-save-pause-exit	lifecycle	recorded	not fully established by the cited V7 RC2 test
PORT-dysmantle-040-physical-stacks	dysmantle	040-physical-stacks	evidence	recorded	[{"level":"physical-subsystem","release":"V7 RC2","result":"14m52s gameplay, outdoor traversal, no OOM, bounded pager and no visual artifacts","stack":"R36S/ArkOS, 640 MB plus swap, Mali-G31/KMSDRM"}]
PORT-dysmantle-041-limitations	dysmantle	041-limitations	evidence	recorded	["This test does not prove audio, save/reload and clean exit","README claims about every AArch64 CFW are design claims, not physical proof","RG CubeXX issue requires its own repeat"]
PORT-dysmantle-042-generalization	dysmantle	042-generalization	generalization	recorded	{"allowed":["low-memory pager measurements","bounded texture cache","transaction stages"],"forbidden":["global NPOT wrap clamp","Null audio as success","claim broad CFW support from Ark test"]}
PORT-geometrydash-001-canonical-id	geometrydash	001-canonical-id	identity	recorded	geometrydash
PORT-geometrydash-002-title	geometrydash	002-title	identity	recorded	Geometry Dash
PORT-geometrydash-003-support-scope	geometrydash	003-support-scope	classification	recorded	multi-device-validated
PORT-geometrydash-004-publication	geometrydash	004-publication	classification	recorded	current-public
PORT-geometrydash-005-positive-reference	geometrydash	005-positive-reference	classification	recorded	true
PORT-geometrydash-006-local-path	geometrydash	006-local-path	source	recorded	external:geometrydash-nextos
PORT-geometrydash-007-remote-url	geometrydash	007-remote-url	source	recorded	https://github.com/NextOs-Ports/geometrydash-nextos
PORT-geometrydash-008-source-snapshot	geometrydash	008-source-snapshot	source	recorded	11c95cfcbf9cfc53fd5bebd4f8c776dcf8046b74
PORT-geometrydash-009-release-tag	geometrydash	009-release-tag	release	recorded	v1.0.1
PORT-geometrydash-010-release-commit	geometrydash	010-release-commit	release	recorded	11c95cfcbf9cfc53fd5bebd4f8c776dcf8046b74
PORT-geometrydash-011-release-asset	geometrydash	011-release-asset	release	recorded	Geometry.Dash.NextOS.zip
PORT-geometrydash-012-release-sha256	geometrydash	012-release-sha256	release	recorded	6b8fa0be06ab7f24aff5107b8fb74409ef71cf7c05adece9b192856d2a1e53b8
PORT-geometrydash-013-data-policy	geometrydash	013-data-policy	data	recorded	BYO only
PORT-geometrydash-014-package-identity	geometrydash	014-package-identity	data	recorded	com.robtopx.geometryjump; validated build 2.2.144 arm64
PORT-geometrydash-015-version-rule	geometrydash	015-version-rule	data	recorded	package and structure, not filename; ARMv7-only rejected
PORT-geometrydash-016-transactional-install	geometrydash	016-transactional-install	data	recorded	NXExtract container/split-aware transactional install
PORT-geometrydash-017-guest-abi	geometrydash	017-guest-abi	abi	recorded	Android AArch64
PORT-geometrydash-018-host-abi	geometrydash	018-host-abi	abi	recorded	Linux AArch64
PORT-geometrydash-019-elf-class	geometrydash	019-elf-class	abi	recorded	ELF64
PORT-geometrydash-020-float-abi	geometrydash	020-float-abi	abi	recorded	AAPCS64
PORT-geometrydash-021-interpreter	geometrydash	021-interpreter	abi	recorded	host AArch64 dynamic loader
PORT-geometrydash-022-glibc-ceiling	geometrydash	022-glibc-ceiling	abi	recorded	public package <= GLIBC_2.30
PORT-geometrydash-023-loader-family	geometrydash	023-loader-family	loader	recorded	shared Cocos2d-x 2.x AArch64 core
PORT-geometrydash-024-init-array	geometrydash	024-init-array	loader	recorded	native constructors preserved
PORT-geometrydash-025-jni-onload	geometrydash	025-jni-onload	loader	recorded	game registration preserved
PORT-geometrydash-026-native-lifecycle	geometrydash	026-native-lifecycle	loader	recorded	Android lifecycle, preferences, touch and asset reader reproduced
PORT-geometrydash-027-video-ownership	geometrydash	027-video-ownership	video	recorded	firmware SDL/EGL/GLES
PORT-geometrydash-028-backend-detection	geometrydash	028-backend-detection	video	recorded	no video backend forced
PORT-geometrydash-029-gles-probe	geometrydash	029-gles-probe	video	recorded	GLES2 context capability measured
PORT-geometrydash-030-drawable-size	geometrydash	030-drawable-size	video	recorded	real drawable
PORT-geometrydash-031-video-fix-scope	geometrydash	031-video-fix-scope	video	recorded	shared only where both RobTop binaries prove the same contract
PORT-geometrydash-032-native-audio-first	geometrydash	032-native-audio-first	audio	recorded	OpenSL-style game audio through host bridge
PORT-geometrydash-033-audio-fallback-condition	geometrydash	033-audio-fallback-condition	audio	recorded	inherited host output first
PORT-geometrydash-034-realtime-safety	geometrydash	034-realtime-safety	audio	recorded	60 fps audio validated on ArkOS
PORT-geometrydash-035-portmaster-mapping	geometrydash	035-portmaster-mapping	input	recorded	SDL mapping plus direct TRIGGER_HAPPY function keys
PORT-geometrydash-036-input-hotplug	geometrydash	036-input-hotplug	input	recorded	evdev rescan supports late controller
PORT-geometrydash-037-cursor-context	geometrydash	037-cursor-context	input	recorded	right stick arrow in touch menus; R3 click; gameplay buttons remain native
PORT-geometrydash-038-single-instance	geometrydash	038-single-instance	lifecycle	recorded	foreground process only
PORT-geometrydash-039-save-pause-exit	geometrydash	039-save-pause-exit	lifecycle	recorded	SELECT+START clean exit with no residual process/lock
PORT-geometrydash-040-physical-stacks	geometrydash	040-physical-stacks	evidence	recorded	[{"level":"physical-full","release":"v1.0.0 base, carried into v1.0.1 metadata update","result":"clean install, 60 fps, audio, native pad and clean exit","stack":"R36S/ArkOS Mali-G31/KMSDRM"},{"level":"physical-full","release":"shared loader before unification","result":"gameplay, audio, control and save","stack":"NextOS Mali-450/fbdev"}]
PORT-geometrydash-041-limitations	geometrydash	041-limitations	evidence	recorded	["v1.0.1 release identity is recorded separately from the exact physical-test version","Other AArch64 CFWs remain untested"]
PORT-geometrydash-042-generalization	geometrydash	042-generalization	generalization	recorded	{"allowed":["shared engine core with game adapter","direct function-key evdev supplement","content-based split selection"],"forbidden":["treat ARMv7 and AArch64 libraries as interchangeable","steal D-pad or face buttons for cursor"]}
PORT-geometrydash_subzero-001-canonical-id	geometrydash_subzero	001-canonical-id	identity	recorded	geometrydash_subzero
PORT-geometrydash_subzero-002-title	geometrydash_subzero	002-title	identity	recorded	Geometry Dash SubZero
PORT-geometrydash_subzero-003-support-scope	geometrydash_subzero	003-support-scope	classification	recorded	multi-device-validated
PORT-geometrydash_subzero-004-publication	geometrydash_subzero	004-publication	classification	recorded	current-public
PORT-geometrydash_subzero-005-positive-reference	geometrydash_subzero	005-positive-reference	classification	recorded	true
PORT-geometrydash_subzero-006-local-path	geometrydash_subzero	006-local-path	source	recorded	external:geometrydash-nextos/games/gdsubzero
PORT-geometrydash_subzero-007-remote-url	geometrydash_subzero	007-remote-url	source	recorded	https://github.com/NextOs-Ports/geometrydash-nextos
PORT-geometrydash_subzero-008-source-snapshot	geometrydash_subzero	008-source-snapshot	source	recorded	11c95cfcbf9cfc53fd5bebd4f8c776dcf8046b74
PORT-geometrydash_subzero-009-release-tag	geometrydash_subzero	009-release-tag	release	recorded	v1.0.1
PORT-geometrydash_subzero-010-release-commit	geometrydash_subzero	010-release-commit	release	recorded	11c95cfcbf9cfc53fd5bebd4f8c776dcf8046b74
PORT-geometrydash_subzero-011-release-asset	geometrydash_subzero	011-release-asset	release	recorded	Geometry.Dash.SubZero.NextOS.zip
PORT-geometrydash_subzero-012-release-sha256	geometrydash_subzero	012-release-sha256	release	recorded	0a6bad13440d5e9ff3d6a821e91c9afa96ef81793573fb7be02ee20607016f2d
PORT-geometrydash_subzero-013-data-policy	geometrydash_subzero	013-data-policy	data	recorded	BYO only
PORT-geometrydash_subzero-014-package-identity	geometrydash_subzero	014-package-identity	data	recorded	com.robtopx.geometrydashsubzero; validated build 2.2.147 arm64
PORT-geometrydash_subzero-015-version-rule	geometrydash_subzero	015-version-rule	data	recorded	package and structure, not filename; ARMv7-only rejected
PORT-geometrydash_subzero-016-transactional-install	geometrydash_subzero	016-transactional-install	data	recorded	NXExtract container/split-aware transactional install
PORT-geometrydash_subzero-017-guest-abi	geometrydash_subzero	017-guest-abi	abi	recorded	Android AArch64
PORT-geometrydash_subzero-018-host-abi	geometrydash_subzero	018-host-abi	abi	recorded	Linux AArch64
PORT-geometrydash_subzero-019-elf-class	geometrydash_subzero	019-elf-class	abi	recorded	ELF64
PORT-geometrydash_subzero-020-float-abi	geometrydash_subzero	020-float-abi	abi	recorded	AAPCS64
PORT-geometrydash_subzero-021-interpreter	geometrydash_subzero	021-interpreter	abi	recorded	host AArch64 dynamic loader
PORT-geometrydash_subzero-022-glibc-ceiling	geometrydash_subzero	022-glibc-ceiling	abi	recorded	public package <= GLIBC_2.30
